time (s),altitude (m)
815000.0,401665.10505802
816000.0,392777.0951164039
817000.0,387457.77150688134
818000.0,391865.63400532864
819000.0,400885.75100918673
820000.0,404096.1511776671
821000.0,397797.5558263855
822000.0,389241.8382968353
823000.0,388319.96098594274
824000.0,396095.0748797525
825000.0,403561.9160420494
826000.0,402109.07759493124
827000.0,393404.67867129203
828000.0,387488.93553491216
829000.0,391210.27767642215
830000.0,400248.7321579559
831000.0,404157.42789029423
832000.0,398432.5747092813
833000.0,389663.8001446901
834000.0,387985.63523558155
835000.0,395338.24720735475
836000.0,403202.99791175127
837000.0,402507.1518813828
838000.0,394047.43042395264
839000.0,387579.01938637346
840000.0,390589.09498141706
841000.0,399581.6857497599
842000.0,404159.2927524727
843000.0,399047.1935568312
844000.0,390128.1936145192
845000.0,387707.58985891286
846000.0,394586.2580064591
847000.0,402791.9989156863
848000.0,402855.8935411358
849000.0,394700.3468977213
850000.0,387727.0496182274
851000.0,390006.348152251
852000.0,398889.3063059086
853000.0,404101.4517111331
854000.0,399636.14313128777
855000.0,390630.62337247375
856000.0,387487.1747058835
857000.0,393844.68471193966
858000.0,402332.60358724
859000.0,403153.16739371326
860000.0,395358.02727390453
861000.0,387930.87460890226
862000.0,389465.7166816592
863000.0,398176.6796476934
864000.0,403984.5427322481
865000.0,400195.19126427174
866000.0,391167.0934378272
867000.0,387325.46286931913
868000.0,393118.1625341289
869000.0,401827.35727416724
870000.0,403396.5696812486
871000.0,396015.74959039874
872000.0,388188.8782478878
873000.0,388970.39334952645
874000.0,397447.8933088761
875000.0,403808.99897726346
876000.0,400720.5100365998
877000.0,391733.69759552553
878000.0,387222.8932423545
879000.0,392411.1111720372
880000.0,401279.5164756505
881000.0,403584.40694973525
882000.0,396668.878742801
883000.0,388498.6269548042
884000.0,388523.1454744078
885000.0,396707.9512654254
886000.0,403576.1550787566
887000.0,401208.2172331894
888000.0,392325.69989035
889000.0,387179.5205861181
890000.0,391728.37084089033
891000.0,400693.40899597574
892000.0,403715.7795694964
893000.0,397312.13403760456
894000.0,388856.694438125
895000.0,388126.31317305844
896000.0,395962.1669584047
897000.0,403288.35444921255
898000.0,401655.0750231482
899000.0,392938.144705439
900000.0,387194.3275669506
901000.0,391073.9453775184
902000.0,400073.1016771216
903000.0,403789.92068783566
904000.0,397941.0240999069
905000.0,389260.0489817569
906000.0,387781.9157376867
907000.0,395214.9987724079
908000.0,402947.0837911917
909000.0,402057.73501677904
910000.0,393566.58236042596
911000.0,387267.02547574695
912000.0,390451.8569515301
913000.0,399422.24749710876
914000.0,403805.8874828778
915000.0,398550.84439113457
916000.0,389705.59154303186
917000.0,387492.13606061134
918000.0,394471.5708725704
919000.0,402554.62499861605
920000.0,402413.3615291668
921000.0,394206.3786988659
922000.0,387396.62394794263
923000.0,389866.3077617083
924000.0,398745.4491032008
925000.0,403763.75283425674
926000.0,399137.30628938135
927000.0,390189.7665173793
928000.0,387258.3371012872
929000.0,393736.5163042927
930000.0,402113.70656662807
931000.0,402719.4496304756
932000.0,394852.4797499385
933000.0,387581.0973017011
934000.0,389320.35000663437
935000.0,398047.0914338678
936000.0,403663.74197688233
937000.0,399695.9767265497
938000.0,390708.36394415796
939000.0,387081.39134470746
940000.0,393014.61204918753
941000.0,401626.92655873764
942000.0,402973.3815639792
943000.0,395500.1382440273
944000.0,387819.3743953761
945000.0,388818.0663259821
946000.0,397331.8676918652
947000.0,403506.1385199856
948000.0,400222.3759230403
949000.0,391257.27529293206
950000.0,386962.3043999672
951000.0,392310.9626329588
952000.0,401098.18764191214
953000.0,403173.7709720852
954000.0,396144.36006595474
955000.0,388108.4553284552
956000.0,388361.88055005204
957000.0,396604.71036824584
958000.0,403292.76028536074
959000.0,400713.4677076731
960000.0,391832.0797271654
961000.0,386900.4353770437
962000.0,391629.387285837
963000.0,400530.957391263
964000.0,403319.3490112666
965000.0,396780.3201540606
966000.0,388445.53534394875
967000.0,387954.18150164
968000.0,395870.1480493378
969000.0,403024.72510293964
970000.0,401165.4811247662
971000.0,392428.6448267922
972000.0,386896.1286526052
973000.0,390974.31405358855
974000.0,399928.8450140944
975000.0,403409.19711401686
976000.0,397403.74734290875
977000.0,388827.87007483654
978000.0,387597.0989773646
979000.0,395133.07589150686
980000.0,402704.11198117025
981000.0,401575.1689437134
982000.0,393041.74989145435
983000.0,386948.26638778206
984000.0,390349.9960567225
985000.0,399296.2149724988
986000.0,403442.36989037786
987000.0,398009.5701500308
988000.0,389252.33566008974
989000.0,387293.067170904
990000.0,394398.24237677176
991000.0,402332.7278888328
992000.0,401939.55597030837
993000.0,393667.2718785433
994000.0,387056.3515333561
995000.0,389760.19324835204
996000.0,398636.8940436123
997000.0,403418.63496624306
998000.0,398593.6252304837
999000.0,389715.29239390045
1000000.0,387043.1548893992
1001000.0,393670.38029829506
1002000.0,401913.32216520514
1003000.0,402256.22652838845
1004000.0,394300.3690173533
1005000.0,387218.6162368851
1006000.0,389208.12466741446
1007000.0,397955.24107921217
1008000.0,403338.5306614423
1009000.0,399151.9915443864
1010000.0,390213.0628343839
1011000.0,386848.3556410838
1012000.0,392953.92916197516
1013000.0,401448.70013619866
1014000.0,402523.1426930418
1015000.0,394936.3083317857
1016000.0,387433.3703706702
1017000.0,388697.2708294792
1018000.0,397255.8177464502
1019000.0,403202.5162346279
1020000.0,399680.6589404782
1021000.0,390741.6240448076
1022000.0,386709.27483312134
1023000.0,392253.32029210124
1024000.0,400941.924815055
1025000.0,402738.5564550394
1026000.0,395570.8000958478
1027000.0,387698.48077553976
1028000.0,388229.97449178435
1029000.0,396542.70289014094
1030000.0,403011.4744337592
1031000.0,400176.1100798538
1032000.0,391297.26727352757
1033000.0,386626.22381708864
1034000.0,391572.6918990575
1035000.0,400396.3639168069
1036000.0,402901.33208953124
1037000.0,396199.2581344126
1038000.0,388011.32520605065
1039000.0,387808.811571355
1040000.0,395820.6610563509
1041000.0,402766.97572663147
1042000.0,400635.03488306236
1043000.0,391875.3435050268
1044000.0,386598.7685538931
1045000.0,390916.1555601442
1046000.0,399815.3958388474
1047000.0,403009.80584991816
1048000.0,396816.8458642205
1049000.0,388369.44328892045
1050000.0,387436.7786313975
1051000.0,395094.68803325854
1052000.0,402470.31546767335
1053000.0,401053.62861017603
1054000.0,392471.6440450335
1055000.0,386627.1887675412
1056000.0,390288.2020315621
1057000.0,399203.05309889745
1058000.0,403063.53848453145
1059000.0,397419.37529425044
1060000.0,388769.84719939064
1061000.0,387115.2110845968
1062000.0,394368.76008704957
1063000.0,402123.4676725343
1064000.0,401429.55487369373
1065000.0,393081.7743305648
1066000.0,386709.99336920865
1067000.0,389692.0450166175
1068000.0,398563.1335833315
1069000.0,403062.132569571
1070000.0,398002.4622621108
1071000.0,389208.96285173297
